Juego,Fecha,Jugada,N0,N1,N2,N3,N4,N5
1564,5/17/2017 9:00:00 PM,02-06-15-17-18-23,2,6,15,17,18,23
1565,5/20/2017 9:00:00 PM,03-09-17-19-21-25,3,9,17,19,21,25
1566,5/24/2017 9:00:00 PM,02-07-08-14-16-26,2,7,8,14,16,26
1567,5/27/2017 9:00:00 PM,05-10-15-22-31-32,5,10,15,22,31,32
1568,5/31/2017 9:00:00 PM,04-15-30-23-13-25,4,13,15,23,25,30
1569,6/3/2017 9:00:00 PM,07-23-25-27-31-33,7,23,25,27,31,33
1570,6/7/2017 9:00:00 PM,11-21-22-23-28-31,11,21,22,23,28,31
1571,6/10/2017 9:00:00 PM,04-07-12-13-14-24,4,7,12,13,14,24
1572,6/14/2017 9:00:00 PM,09-11-15-19-20-28,9,11,15,19,20,28
1573,6/17/2017 9:00:00 PM,11-20-26-27-28-29,11,20,26,27,28,29
1574,6/21/2017 9:00:00 PM,16-18-19-25-27-32,16,18,19,25,27,32
1575,6/24/2017 9:00:00 PM,01-08-12-20-25-26,1,8,12,20,25,26
1576,6/28/2017 9:00:00 PM,09-14-15-22-25-32,9,14,15,22,25,32
1577,7/1/2017 9:00:00 PM,01-05-13-19-25-29,1,5,13,19,25,29
1578,7/5/2017 9:00:00 PM,01-04-14-18-23-29,1,4,14,18,23,29
1579,7/8/2017 9:00:00 PM,18-20-27-28-30-31,18,20,27,28,30,31
1580,7/12/2017 9:00:00 PM,01-10-12-16-19-28,1,10,12,16,19,28
1581,7/15/2017 9:00:00 PM,08-21-25-28-31-32,8,21,25,28,31,32
1582,7/19/2017 9:00:00 PM,08-16-20-25-30-31,8,16,20,25,30,31
1583,7/22/2017 9:00:00 PM,03-05-07-12-22-33,3,5,7,12,22,33
1584,7/26/2017 9:00:00 PM,04-12-17-18-22-28,4,12,17,18,22,28
1585,7/29/2017 9:00:00 PM,15-17-18-22-23-30,15,17,18,22,23,30
1586,8/2/2017 9:00:00 PM,01-04-14-15-23-26,1,4,14,15,23,26
1587,8/5/2017 9:00:00 PM,04-11-12-13-16-18,4,11,12,13,16,18
1589,8/12/2017 12:00:00 AM,18-22-24-25-28-30,18,22,24,25,28,30
1590,8/16/2017 12:00:00 AM,01-02-10-13-19-23,1,2,10,13,19,23
1591,8/19/2017 12:00:00 AM,06-12-17-20-24-31,6,12,17,20,24,31
1592,8/23/2017 12:00:00 AM,04-10-13-23-31-33,4,10,13,23,31,33
1593,8/26/2017 12:00:00 AM,13-17-22-24-28-31,13,17,22,24,28,31
1594,8/30/2017 12:00:00 AM,03-06-08-18-23-24,3,6,8,18,23,24
1595,9/2/2017 12:00:00 AM,09-10-14-17-32-33,9,10,14,17,32,33
1596,9/6/2017 12:00:00 AM,02-08-15-19-25-27,2,8,15,19,25,27
1597,9/9/2017 12:00:00 AM,04-16-20-22-24-30,4,16,20,22,24,30
1598,9/13/2017 12:00:00 AM,01-14-21-24-30-33,1,14,21,24,30,33
1599,9/16/2017 12:00:00 AM,08-09-13-21-22-29,8,9,13,21,22,29
1600,9/20/2017 12:00:00 AM,03-10-18-19-20-33,3,10,18,19,20,33
1601,9/23/2017 12:00:00 AM,02-03-17-24-25-32,2,3,17,24,25,32
1602,9/27/2017 12:00:00 AM,09-13-22-26-32-33,9,13,22,26,32,33
1603,9/30/2017 12:00:00 AM,02-07-17-19-22-32,2,7,17,19,22,32
1604,10/4/2017 12:00:00 AM,26-28-09-16-13-30,9,13,16,26,28,30
1605,10/7/2017 12:00:00 AM,01-14-17-21-26-28,1,14,17,21,26,28
1606,10/11/2017 12:00:00 AM,05-07-10-20-23-30,5,7,10,20,23,30
1607,10/14/2017 12:00:00 AM,03-04-05-14-18-31  ,3,4,5,14,18,31
1608,10/18/2017 12:00:00 AM,07-18-19-21-22-27  ,7,18,19,21,22,27
1609,10/21/2017 12:00:00 AM,04-05-09-10-11-20  ,4,5,9,10,11,20
1610,10/25/2017 12:00:00 AM,04-05-07-21-23-28  ,4,5,7,21,23,28
1611,10/28/2017 12:00:00 AM,04-06-10-11-15-22  ,4,6,10,11,15,22
1612,11/1/2017 12:00:00 AM,11-12-22-24-27-29  ,11,12,22,24,27,29
1613,11/4/2017 12:00:00 AM,08-09-26-29-30-31  ,8,9,26,29,30,31
1614,11/8/2017 12:00:00 AM,01-03-04-09-15-20  ,1,3,4,9,15,20
1615,11/11/2017 12:00:00 AM,05-06-11-12-25-27  ,5,6,11,12,25,27
1616,11/15/2017 12:00:00 AM,07-13-15-17-18-27  ,7,13,15,17,18,27
1617,11/18/2017 12:00:00 AM,01-11-19-21-23-30  ,1,11,19,21,23,30
1618,11/22/2017 12:00:00 AM,04-05-08-12-30-31  ,4,5,8,12,30,31
1619,11/25/2017 12:00:00 AM,11-16-21-25-26-29  ,11,16,21,25,26,29
1620,11/29/2017 12:00:00 AM,04-07-12-25-29-30  ,4,7,12,25,29,30
1621,12/2/2017 12:00:00 AM,18-20-23-26-28-33  ,18,20,23,26,28,33
1622,12/6/2017 12:00:00 AM,08-10-15-21-25-29  ,8,10,15,21,25,29
1623,12/9/2017 12:00:00 AM,16-17-19-23-30-31  ,16,17,19,23,30,31
1624,12/13/2017 12:00:00 AM,07-11-14-17-21-30  ,7,11,14,17,21,30
1625,12/16/2017 12:00:00 AM,02-11-17-22-27-30  ,2,11,17,22,27,30
1626,12/20/2017 12:00:00 AM,17-21-23-24-26-31  ,17,21,23,24,26,31
1627,12/23/2017 12:00:00 AM,06-08-18-20-28-31  ,6,8,18,20,28,31
1628,12/27/2017 12:00:00 AM,03-06-16-23-29-33  ,3,6,16,23,29,33
1629,12/30/2017 12:00:00 AM,06-12-13-24-29-32  ,6,12,13,24,29,32
1630,1/3/2018 12:00:00 AM,13-14-18-20-26-30  ,13,14,18,20,26,30
1631,1/6/2018 12:00:00 AM,09-11-17-27-28-33,9,11,17,27,28,33
